price,title,url
 600 ,"
Wiverton Tower, Aldgate Place, E1",londonrelocation.com/properties-to-rent/properties/property-london/541019-1-bed-wiverton-tower-aldgate-place-e1/
 2687 ,"
Whitechapel High Street, Aldgate, E1",londonrelocation.com/properties-to-rent/properties/property-london/540070-2-bed-whitechapel-high-street-aldgate-e1/
 3200 ,"
Alie Street, Aldgate, E1",londonrelocation.com/properties-to-rent/properties/property-london/539705-2-bed-alie-street-aldgate-e1/
 2709 ,"
Bowmans Mews, Aldgate, E1",londonrelocation.com/properties-to-rent/properties/property-london/539337-1-bed-bowmans-mews-aldgate-e1/
 1700 ,"
Denning Point, Aldgate, E1",londonrelocation.com/properties-to-rent/properties/property-london/538580-1-bed-denning-point-aldgate-e1/
 635 ,"
Gatsby Apartments, Aldgate East, E1",londonrelocation.com/properties-to-rent/properties/property-london/419030-2-bed-gatsby-apartments-aldgate-east-e1/
 490 ,"
The Spaceworks, Plumbers Row, Aldgate, E1",londonrelocation.com/properties-to-rent/properties/property-london/407625-2-bed-the-spaceworks-plumbers-row-aldgate-e1/
 790 ,"
Meranti House, Goodmans Fields, Aldgate, London, E1",londonrelocation.com/properties-to-rent/properties/property-london/395699-2-bed-meranti-house-goodmans-fields-aldgate-london-e1/
 675 ,"
Altitude Point, 71 Alie Street, Aldgate, Aldgate East, E1",londonrelocation.com/properties-to-rent/properties/property-london/395661-2-bed-altitude-point-71-alie-street-aldgate-aldgate-east-e1/
 460 ,"
Altitude Tower, Altitude Point, Aldgate East, London, E1",londonrelocation.com/properties-to-rent/properties/property-london/395591-1-bed-altitude-tower-altitude-point-aldgate-east-london-e1/
 1800 ,"
Malyons Road Lewisham SE13",londonrelocation.com/properties-to-rent/properties/property-london/543907-3-bed-malyons-road-lewisham-se13/
 1950 ,"
Conington Road, Lewisham, SE13",londonrelocation.com/properties-to-rent/properties/property-london/543342-2-bed-conington-road-lewisham-se13/
 1650 ,"
Lewisham High Street, Lewisham, SE13",londonrelocation.com/properties-to-rent/properties/property-london/542274-2-bed-lewisham-high-street-lewisham-se13/
 1100 ,"
Boone Street, Lewisham, SE13",londonrelocation.com/properties-to-rent/properties/property-london/541832-boone-street-lewisham-se13/
 1400 ,"
Felday Road Lewisham SE13",londonrelocation.com/properties-to-rent/properties/property-london/541632-2-bed-felday-road-lewisham-se13/
 2167 ,"
Bissextile House, Lewisham, SE13",londonrelocation.com/properties-to-rent/properties/property-london/537002-2-bed-bissextile-house-lewisham-se13/
 1150 ,"
Lewisham Way, London, SE14",londonrelocation.com/properties-to-rent/properties/property-london/527374-1-bed-lewisham-way-london-se14/
 1250 ,"
Lewisham Way, London, SE14",londonrelocation.com/properties-to-rent/properties/property-london/527373-1-bed-lewisham-way-london-se14/
 1800 ,"
Conington Road, Lewisham, London, SE13",londonrelocation.com/properties-to-rent/properties/property-london/481077-2-bed-conington-road-lewisham-london-se13/
 310 ,"
Roma Corte, Lewisham, SE13",londonrelocation.com/properties-to-rent/properties/property-london/397516-1-bed-roma-corte-lewisham-se13/
 1375 ,"
Dyke Cottages, Rickmansworth Road, Northwood, Middlesex, HA6",londonrelocation.com/properties-to-rent/properties/property-london/543992-2-bed-dyke-cottages-rickmansworth-road-northwood-middlesex-ha6/
 2200 ,"
Northwood Road Highgate N6",londonrelocation.com/properties-to-rent/properties/property-london/543883-2-bed-northwood-road-highgate-n6/
 2000 ,"
Northwood, Middlesex, HA6",londonrelocation.com/properties-to-rent/properties/property-london/543849-3-bed-northwood-middlesex-ha6/
 1200 ,"
Northwood, Greater London, HA6",londonrelocation.com/properties-to-rent/properties/property-london/543499-northwood-greater-london-ha6/
 2100 ,"
Dukes Lodge, 10-12 Eastbury Avenue, Northwood, Middlesex, HA6",londonrelocation.com/properties-to-rent/properties/property-london/542838-3-bed-dukes-lodge-10-12-eastbury-avenue-northwood-middlesex-ha6/
 1450 ,"
Columbus Gardens, Northwood, Middlesex, HA6",londonrelocation.com/properties-to-rent/properties/property-london/542840-2-bed-columbus-gardens-northwood-middlesex-ha6/
 1150 ,"
Robina Close, Northwood, HA6",londonrelocation.com/properties-to-rent/properties/property-london/542587-1-bed-robina-close-northwood-ha6/
 1450 ,"
Northwood, Greater London, HA6",londonrelocation.com/properties-to-rent/properties/property-london/541999-2-bed-northwood-greater-london-ha6/
 3684 ,"
Grangedale Close, Northwood, HA6",londonrelocation.com/properties-to-rent/properties/property-london/540971-3-bed-grangedale-close-northwood-ha6/
 1500 ,"
Northwood, Greater London, HA6",londonrelocation.com/properties-to-rent/properties/property-london/538431-2-bed-northwood-greater-london-ha6/
 725 ,"
Westbourne Road, Lower Holloway, London, N7",londonrelocation.com/properties-to-rent/properties/property-london/497543-3-bed-westbourne-road-lower-holloway-london-n7/
